index,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
0,132576,PCN,Oceania,Pitcairn,2021-09-01,3686375.0,159.0,192.28599999999997,60439.0,27.0,32.0,33196.556000000004,1.432,1.732,544.265,0.243,0.28800000000000003,1.02,49.0,2.853,467.0,85.443,13.0,2.411,134.0,24.484,27689872.0,21219.0,249.35299999999998,0.191,19826.0,0.179,0.0106,94.3,people tested,83.0,47.0,36.0,13231643.0,227791.0,0.0,176.6,100.0,76.6,11.92,0.0,0.0,0.0,47.69,47.0,351.87300000000005,25.2,4.803,2.661,7599.188,3.5,370.43699999999995,7.07,7.8,40.8,78.46300000000001,1.0,71.23,0.718,209447.7,17.33,8.41,1886.119118
1,132577,PCN,Oceania,Pitcairn,2021-09-02,3686375.0,159.0,192.28599999999997,60439.0,27.0,32.0,33196.556000000004,1.432,1.732,544.265,0.243,0.28800000000000003,1.02,49.0,2.853,467.0,85.443,13.0,2.411,134.0,24.484,27689872.0,21219.0,249.35299999999998,0.191,19826.0,0.179,0.0106,94.3,people tested,83.0,47.0,36.0,13231643.0,227791.0,0.0,176.6,100.0,76.6,11.92,0.0,0.0,0.0,47.69,47.0,351.87300000000005,25.2,4.803,2.661,7599.188,3.5,370.43699999999995,7.07,7.8,40.8,78.46300000000001,1.0,71.23,0.718,209447.7,17.33,8.41,1886.119118
2,132578,PCN,Oceania,Pitcairn,2021-09-03,3686375.0,159.0,192.28599999999997,60439.0,27.0,32.0,33196.556000000004,1.432,1.732,544.265,0.243,0.28800000000000003,1.02,49.0,2.853,467.0,85.443,13.0,2.411,134.0,24.484,27689872.0,21219.0,249.35299999999998,0.191,19826.0,0.179,0.0106,94.3,people tested,83.0,47.0,36.0,13231643.0,227791.0,0.0,176.6,100.0,76.6,11.92,0.0,0.0,0.0,47.69,47.0,351.87300000000005,25.2,4.803,2.661,7599.188,3.5,370.43699999999995,7.07,7.8,40.8,78.46300000000001,1.0,71.23,0.718,209447.7,17.33,8.41,1886.119118
3,132579,PCN,Oceania,Pitcairn,2021-09-04,3686375.0,159.0,192.28599999999997,60439.0,27.0,32.0,33196.556000000004,1.432,1.732,544.265,0.243,0.28800000000000003,1.02,49.0,2.853,467.0,85.443,13.0,2.411,134.0,24.484,27689872.0,21219.0,249.35299999999998,0.191,19826.0,0.179,0.0106,94.3,people tested,83.0,47.0,36.0,13231643.0,227791.0,0.0,176.6,100.0,76.6,11.92,0.0,0.0,0.0,47.69,47.0,351.87300000000005,25.2,4.803,2.661,7599.188,3.5,370.43699999999995,7.07,7.8,40.8,78.46300000000001,1.0,71.23,0.718,209447.7,17.33,8.41,1886.119118
4,132580,PCN,Oceania,Pitcairn,2021-09-05,3686375.0,159.0,192.28599999999997,60439.0,27.0,32.0,33196.556000000004,1.432,1.732,544.265,0.243,0.28800000000000003,1.02,49.0,2.853,467.0,85.443,13.0,2.411,134.0,24.484,27689872.0,21219.0,249.35299999999998,0.191,19826.0,0.179,0.0106,94.3,people tested,83.0,47.0,36.0,13231643.0,227791.0,0.0,176.6,100.0,76.6,11.92,0.0,0.0,0.0,47.69,47.0,351.87300000000005,25.2,4.803,2.661,7599.188,3.5,370.43699999999995,7.07,7.8,40.8,78.46300000000001,1.0,71.23,0.718,209447.7,17.33,8.41,1886.119118
5,132581,PCN,Oceania,Pitcairn,2021-09-06,3686375.0,159.0,192.28599999999997,60439.0,27.0,32.0,33196.556000000004,1.432,1.732,544.265,0.243,0.28800000000000003,1.02,49.0,2.853,467.0,85.443,13.0,2.411,134.0,24.484,27689872.0,21219.0,249.35299999999998,0.191,19826.0,0.179,0.0106,94.3,people tested,83.0,47.0,36.0,13231643.0,227791.0,0.0,176.6,100.0,76.6,11.92,0.0,0.0,0.0,47.69,47.0,351.87300000000005,25.2,4.803,2.661,7599.188,3.5,370.43699999999995,7.07,7.8,40.8,78.46300000000001,1.0,71.23,0.718,209447.7,17.33,8.41,1886.119118
6,132582,PCN,Oceania,Pitcairn,2021-09-07,3686375.0,159.0,192.28599999999997,60439.0,27.0,32.0,33196.556000000004,1.432,1.732,544.265,0.243,0.28800000000000003,1.02,49.0,2.853,467.0,85.443,13.0,2.411,134.0,24.484,27689872.0,21219.0,249.35299999999998,0.191,19826.0,0.179,0.0106,94.3,people tested,94.0,47.0,47.0,13231643.0,227791.0,0.0,200.0,100.0,100.0,11.92,0.0,0.0,0.0,47.69,47.0,351.87300000000005,25.2,4.803,2.661,7599.188,3.5,370.43699999999995,7.07,7.8,40.8,78.46300000000001,1.0,71.23,0.718,209447.7,17.33,8.41,1886.119118
7,165716,TKL,Oceania,Tokelau,2021-10-06,36995.0,2.0,2.0,273.0,0.0,0.0,4363.523,0.23600000000000002,0.23600000000000002,32.2,0.0,0.0,1.07,56.0,6.425,814.0,93.397,260.0,5.562,139.0,15.949000000000002,731018.0,877.0,86.223,0.10300000000000001,312.0,0.037000000000000005,0.0064,156.0,tests performed,968.0,968.0,1557538.0,40962.0,7881.0,17.0,70.76,70.76,18.37,0.48,12427.0,0.0,0.0,35.19,1368.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,280.033,6.15,0.9,14.2,10.475,0.7,81.86,0.515,78116.7,6.91,25.39,1116.737062
8,165717,TKL,Oceania,Tokelau,2021-10-07,36995.0,2.0,2.0,273.0,0.0,0.0,4363.523,0.23600000000000002,0.23600000000000002,32.2,0.0,0.0,1.07,56.0,6.425,814.0,93.397,260.0,5.562,139.0,15.949000000000002,731018.0,877.0,86.223,0.10300000000000001,312.0,0.037000000000000005,0.0064,156.0,tests performed,968.0,968.0,1557538.0,40962.0,7881.0,17.0,70.76,70.76,18.37,0.48,12427.0,0.0,0.0,35.19,1368.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,280.033,6.15,0.9,14.2,10.475,0.7,81.86,0.515,78116.7,6.91,25.39,1116.737062
9,165718,TKL,Oceania,Tokelau,2021-10-08,36995.0,2.0,2.0,273.0,0.0,0.0,4363.523,0.23600000000000002,0.23600000000000002,32.2,0.0,0.0,1.07,56.0,6.425,814.0,93.397,260.0,5.562,139.0,15.949000000000002,731018.0,877.0,86.223,0.10300000000000001,312.0,0.037000000000000005,0.0064,156.0,tests performed,968.0,968.0,1557538.0,40962.0,7881.0,17.0,70.76,70.76,18.37,0.48,12427.0,0.0,0.0,35.19,1368.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,280.033,6.15,0.9,14.2,10.475,0.7,81.86,0.515,78116.7,6.91,25.39,1116.737062
