Canton,Date,Time
AG,2022-01-02,08:00
AI,2022-01-04,12:00
AR,2021-12-30,00:00
BE,2022-01-03,00:00
BL,2022-01-03,00:00
BS,2022-01-03,11:50
FR,2022-01-02,00:00
GE,2022-01-03,00:00
GL,2022-01-04,00:00
GR,2022-01-03,00:00
JU,2022-01-03,00:00
LU,2022-01-04,00:00
NE,2022-01-03,00:00
NW,2022-01-03,00:00
OW,2022-01-03,00:00
SG,2022-01-03,00:00
SH,2022-01-03,00:00
SO,2022-01-04,00:00
SZ,2022-01-04,09:00
TG,2022-01-04,10:00
TI,2022-01-04,00:00
UR,2022-01-03,00:00
VD,2021-12-19,00:00
VS,2022-01-03,00:00
ZG,2022-01-03,08:00
ZH,2022-01-03,14:30
