Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH,AG_diff,AG_pc,AG_diff_pc,AI_diff,AI_pc,AI_diff_pc,AR_diff,AR_pc,AR_diff_pc,BE_diff,BE_pc,BE_diff_pc,BL_diff,BL_pc,BL_diff_pc,BS_diff,BS_pc,BS_diff_pc,FR_diff,FR_pc,FR_diff_pc,GE_diff,GE_pc,GE_diff_pc,GL_diff,GL_pc,GL_diff_pc,GR_diff,GR_pc,GR_diff_pc,JU_diff,JU_pc,JU_diff_pc,LU_diff,LU_pc,LU_diff_pc,NE_diff,NE_pc,NE_diff_pc,NW_diff,NW_pc,NW_diff_pc,OW_diff,OW_pc,OW_diff_pc,SG_diff,SG_pc,SG_diff_pc,SH_diff,SH_pc,SH_diff_pc,SO_diff,SO_pc,SO_diff_pc,SZ_diff,SZ_pc,SZ_diff_pc,TG_diff,TG_pc,TG_diff_pc,TI_diff,TI_pc,TI_diff_pc,UR_diff,UR_pc,UR_diff_pc,VD_diff,VD_pc,VD_diff_pc,VS_diff,VS_pc,VS_diff_pc,ZG_diff,ZG_pc,ZG_diff_pc,ZH_diff,ZH_pc,ZH_diff_pc,CH_diff,CH_pc,CH_diff_pc
2020-05-31,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
2020-06-01,0.0,,,,1.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,0.0,,1.0,3.4706315161106715e-06,3.4706315161106715e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0191863083014806e-06,2.0191863083014806e-06,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.907357067058191e-06,2.907357067058191e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.512300662302828e-07,3.512300662302828e-07
2020-06-02,0.0,,0.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,20.0,0.0,0.0,0.0,,,,,0.0,,2.0,1.9324100922049473e-06,1.9324100922049473e-06,0.0,3.4706315161106715e-06,0.0,0.0,0.0,0.0,1.0,3.1376092672427318e-06,3.1376092672427318e-06,3.0,8.076745233205922e-06,6.057558924904442e-06,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,5.619113978107932e-06,5.619113978107932e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0981207493575993e-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.005349467243116e-06,5.005349467243116e-06,1.0,5.814714134116382e-06,2.907357067058191e-06,0.0,0.0,0.0,2.0,1.3149520568480073e-06,1.3149520568480073e-06,17.0,2.341533774868552e-06,1.9903037086382695e-06
2020-06-03,1.0,0.0,0.0,3.0,2.0,1.0,1.0,6.0,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,6.0,2.0,0.0,5.0,36.0,1.0,1.4744760817862393e-06,1.4744760817862393e-06,,0.0,,0.0,0.0,0.0,1.0,2.8986151383074214e-06,9.662050461024737e-07,1.0,6.941263032221343e-06,3.4706315161106715e-06,1.0,5.134366367846544e-06,5.134366367846544e-06,0.0,3.1376092672427318e-06,0.0,2.0,1.2115117849808884e-05,4.038372616602961e-06,0.0,0.0,0.0,1.0,5.040856139006649e-06,5.040856139006649e-06,0.0,0.0,0.0,,,,2.0,1.6857341934323796e-05,1.1238227956215864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.8302012489293323e-05,7.320804995717329e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,7.508024200864674e-06,2.502674733621558e-06,0.0,5.814714134116382e-06,0.0,0.0,0.0,0.0,3.0,3.2873801421200185e-06,1.972428085272011e-06,16.0,4.214760794763394e-06,1.8732270198948418e-06
2020-06-04,3.0,,0.0,6.0,2.0,1.0,5.0,8.0,0.0,1.0,0.0,,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,,9.0,4.0,0.0,13.0,64.0,2.0,4.423428245358718e-06,2.9489521635724785e-06,,0.0,,0.0,0.0,0.0,3.0,5.797230276614843e-06,2.8986151383074214e-06,0.0,6.941263032221343e-06,0.0,0.0,5.134366367846544e-06,0.0,4.0,1.5688046336213657e-05,1.2550437068970927e-05,2.0,1.6153490466411845e-05,4.038372616602961e-06,0.0,0.0,0.0,0.0,5.040856139006649e-06,0.0,0.0,0.0,0.0,,,,2.0,2.809556989053966e-05,1.1238227956215864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1962414987151987e-05,3.6604024978586646e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.830111251673303e-06,2.830111251673303e-06,,0.0,,3.0,1.126203630129701e-05,3.754012100432337e-06,2.0,1.1629428268232763e-05,5.814714134116382e-06,0.0,0.0,0.0,8.0,8.547188369512047e-06,5.259808227392029e-06,28.0,7.492908079579367e-06,3.278147284815973e-06
2020-06-05,3.0,0.0,0.0,,2.0,4.0,8.0,10.0,0.0,1.0,0.0,,6.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,,11.0,5.0,0.0,19.0,83.0,0.0,4.423428245358718e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.797230276614843e-06,,0.0,6.941263032221343e-06,0.0,3.0,2.0537465471386177e-05,1.5403099103539633e-05,3.0,2.5100874137941854e-05,9.412827801728195e-06,2.0,2.0191863083014807e-05,4.038372616602961e-06,0.0,0.0,0.0,0.0,5.040856139006649e-06,0.0,0.0,0.0,0.0,,,,1.0,3.371468386864759e-05,5.619113978107932e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9696787650902013e-06,1.9696787650902013e-06,0.0,0.0,0.0,0.0,2.1962414987151987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.830111251673303e-06,0.0,,0.0,,2.0,1.376471103491857e-05,2.502674733621558e-06,1.0,1.4536785335290953e-05,2.907357067058191e-06,0.0,0.0,0.0,6.0,1.249204454005607e-05,3.944856170544022e-06,19.0,9.717365165704492e-06,2.2244570861251246e-06
2020-06-06,5.0,,,,2.0,4.0,10.0,14.0,,1.0,0.0,1.0,7.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,,13.0,6.0,0.0,23.0,101.0,2.0,7.372380408931197e-06,2.9489521635724785e-06,,0.0,,,0.0,,,5.797230276614843e-06,,0.0,6.941263032221343e-06,0.0,0.0,2.0537465471386177e-05,0.0,2.0,3.1376092672427314e-05,6.2752185344854636e-06,4.0,2.826860831622073e-05,8.076745233205922e-06,,0.0,,0.0,5.040856139006649e-06,0.0,0.0,0.0,0.0,,2.4416625768818503e-06,,1.0,3.9333797846755525e-05,5.619113978107932e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9696787650902013e-06,0.0,1.0,1.2196460587137613e-05,1.2196460587137613e-05,,2.1962414987151987e-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.830111251673303e-06,0.0,,0.0,,2.0,1.6267385768540127e-05,2.502674733621558e-06,1.0,1.7444142402349143e-05,2.907357067058191e-06,0.0,0.0,0.0,4.0,1.5121948653752085e-05,2.6299041136960146e-06,18.0,1.1824745563086189e-05,2.107380397381697e-06
2020-06-07,5.0,,,7.0,2.0,4.0,10.0,14.0,,1.0,0.0,,8.0,0.0,0.0,2.0,1.0,,0.0,0.0,1.0,,15.0,8.0,0.0,23.0,108.0,0.0,7.372380408931197e-06,0.0,,0.0,,,0.0,,1.0,6.763435322717316e-06,9.662050461024737e-07,0.0,6.941263032221343e-06,0.0,0.0,2.0537465471386177e-05,0.0,0.0,3.1376092672427314e-05,0.0,0.0,2.826860831622073e-05,0.0,,0.0,,0.0,5.040856139006649e-06,0.0,0.0,0.0,0.0,,2.4416625768818503e-06,,1.0,4.495291182486346e-05,5.619113978107932e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.939357530180403e-06,1.9696787650902013e-06,0.0,1.2196460587137613e-05,0.0,,2.1962414987151987e-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.830111251673303e-06,0.0,,0.0,,2.0,1.8770060502161686e-05,2.502674733621558e-06,2.0,2.3258856536465527e-05,5.814714134116382e-06,0.0,0.0,0.0,0.0,1.5121948653752085e-05,0.0,7.0,1.2644282384290182e-05,8.195368212039933e-07
2020-06-08,5.0,,0.0,12.0,3.0,4.0,10.0,15.0,0.0,1.0,0.0,,9.0,0.0,0.0,4.0,1.0,6.0,0.0,1.0,1.0,,16.0,13.0,1.0,23.0,126.0,0.0,7.372380408931197e-06,0.0,,0.0,,0.0,0.0,0.0,5.0,1.1594460553229686e-05,4.831025230512369e-06,1.0,1.0411894548332014e-05,3.4706315161106715e-06,0.0,2.0537465471386177e-05,0.0,0.0,3.1376092672427314e-05,0.0,1.0,3.028779462452221e-05,2.0191863083014806e-06,0.0,0.0,0.0,0.0,5.040856139006649e-06,0.0,0.0,0.0,0.0,,2.4416625768818503e-06,,1.0,5.057202580297139e-05,5.619113978107932e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.878715060360805e-06,3.939357530180403e-06,0.0,1.2196460587137613e-05,0.0,0.0,2.1962414987151987e-05,0.0,0.0,0.0,0.0,1.0,3.617002806794178e-06,3.617002806794178e-06,0.0,2.830111251673303e-06,0.0,,0.0,,1.0,2.0021397868972466e-05,1.251337366810779e-06,5.0,3.779564187175648e-05,1.4536785335290953e-05,1.0,7.884134755631242e-06,7.884134755631242e-06,0.0,1.5121948653752085e-05,0.0,18.0,1.475166278167188e-05,2.107380397381697e-06
2020-06-09,7.0,0.0,,,3.0,5.0,12.0,15.0,0.0,1.0,0.0,,9.0,0.0,0.0,5.0,1.0,6.0,0.0,1.0,1.0,,19.0,14.0,3.0,23.0,138.0,2.0,1.0321332572503675e-05,2.9489521635724785e-06,0.0,0.0,0.0,,0.0,,,1.1594460553229686e-05,,0.0,1.0411894548332014e-05,0.0,1.0,2.567183183923272e-05,5.134366367846544e-06,2.0,3.765131120691278e-05,6.2752185344854636e-06,0.0,3.028779462452221e-05,0.0,0.0,0.0,0.0,0.0,5.040856139006649e-06,0.0,0.0,0.0,0.0,,2.4416625768818503e-06,,0.0,5.057202580297139e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.848393825451006e-06,1.9696787650902013e-06,0.0,1.2196460587137613e-05,0.0,0.0,2.1962414987151987e-05,0.0,0.0,0.0,0.0,0.0,3.617002806794178e-06,0.0,0.0,2.830111251673303e-06,0.0,,0.0,,3.0,2.37754099694048e-05,3.754012100432337e-06,1.0,4.0702998938814674e-05,2.907357067058191e-06,2.0,2.365240426689373e-05,1.5768269511262485e-05,0.0,1.5121948653752085e-05,0.0,12.0,1.615658304659301e-05,1.4049202649211313e-06
