Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH,AG_diff,AG_pc,AG_diff_pc,AI_diff,AI_pc,AI_diff_pc,AR_diff,AR_pc,AR_diff_pc,BE_diff,BE_pc,BE_diff_pc,BL_diff,BL_pc,BL_diff_pc,BS_diff,BS_pc,BS_diff_pc,FR_diff,FR_pc,FR_diff_pc,GE_diff,GE_pc,GE_diff_pc,GL_diff,GL_pc,GL_diff_pc,GR_diff,GR_pc,GR_diff_pc,JU_diff,JU_pc,JU_diff_pc,LU_diff,LU_pc,LU_diff_pc,NE_diff,NE_pc,NE_diff_pc,NW_diff,NW_pc,NW_diff_pc,OW_diff,OW_pc,OW_diff_pc,SG_diff,SG_pc,SG_diff_pc,SH_diff,SH_pc,SH_diff_pc,SO_diff,SO_pc,SO_diff_pc,SZ_diff,SZ_pc,SZ_diff_pc,TG_diff,TG_pc,TG_diff_pc,TI_diff,TI_pc,TI_diff_pc,UR_diff,UR_pc,UR_diff_pc,VD_diff,VD_pc,VD_diff_pc,VS_diff,VS_pc,VS_diff_pc,ZG_diff,ZG_pc,ZG_diff_pc,ZH_diff,ZH_pc,ZH_diff_pc,CH_diff,CH_pc,CH_diff_pc
2020-02-25,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,
2020-02-26,0.0,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0
2020-02-27,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0
2020-02-28,0.0,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0
2020-02-29,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0
2020-03-01,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-03-02,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-03-03,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-03-04,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-03-05,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-03-06,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.251337366810779e-06,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.1707668874342761e-07,1.1707668874342761e-07
2020-03-07,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.251337366810779e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.1707668874342761e-07,0.0
2020-03-08,0.0,,,0.0,1.0,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,1.0,0.0,0.0,,2.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,3.4706315161106715e-06,3.4706315161106715e-06,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.251337366810779e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,2.3415337748685523e-07,1.1707668874342761e-07
